image,field,correct,critical
001_blur.jpg,sku,False,False
001_blur.jpg,lot,False,False
001_blur.jpg,quantity,False,False
001_blur.jpg,unit,False,False
001_blur.jpg,serial,False,False
001_blur.jpg,po_number,False,False
001_blur.jpg,barcode,False,False
002_blur.jpg,sku,False,False
002_blur.jpg,lot,False,False
002_blur.jpg,quantity,False,False
002_blur.jpg,unit,False,False
002_blur.jpg,serial,False,False
002_blur.jpg,po_number,False,False
002_blur.jpg,barcode,False,False
003_damaged.jpg,sku,False,False
003_damaged.jpg,lot,False,False
003_damaged.jpg,quantity,False,False
003_damaged.jpg,unit,False,False
003_damaged.jpg,serial,False,False
003_damaged.jpg,po_number,False,False
003_damaged.jpg,barcode,False,False
004_reflection.jpg,sku,False,False
004_reflection.jpg,lot,False,False
004_reflection.jpg,quantity,False,False
004_reflection.jpg,unit,False,False
004_reflection.jpg,serial,False,False
004_reflection.jpg,po_number,False,False
004_reflection.jpg,barcode,False,False
005_blur.jpg,sku,False,False
005_blur.jpg,lot,False,False
005_blur.jpg,quantity,False,False
005_blur.jpg,unit,False,False
005_blur.jpg,serial,False,False
005_blur.jpg,po_number,False,False
005_blur.jpg,barcode,False,False
006_rotated.jpg,sku,False,False
006_rotated.jpg,lot,False,False
006_rotated.jpg,quantity,False,False
006_rotated.jpg,unit,False,False
006_rotated.jpg,serial,False,False
006_rotated.jpg,po_number,False,False
006_rotated.jpg,barcode,False,False
007_vietnamese_mixed.jpg,sku,False,False
007_vietnamese_mixed.jpg,lot,False,False
007_vietnamese_mixed.jpg,quantity,False,False
007_vietnamese_mixed.jpg,unit,False,False
007_vietnamese_mixed.jpg,serial,False,False
007_vietnamese_mixed.jpg,po_number,False,False
007_vietnamese_mixed.jpg,barcode,False,False
008_reflection.jpg,sku,False,False
008_reflection.jpg,lot,False,False
008_reflection.jpg,quantity,False,False
008_reflection.jpg,unit,False,False
008_reflection.jpg,serial,False,False
008_reflection.jpg,po_number,False,False
008_reflection.jpg,barcode,False,False
009_vietnamese_mixed.jpg,sku,False,False
009_vietnamese_mixed.jpg,lot,False,False
009_vietnamese_mixed.jpg,quantity,False,False
009_vietnamese_mixed.jpg,unit,False,False
009_vietnamese_mixed.jpg,serial,False,False
009_vietnamese_mixed.jpg,po_number,False,False
009_vietnamese_mixed.jpg,barcode,False,False
010_vietnamese_mixed.jpg,sku,False,False
010_vietnamese_mixed.jpg,lot,False,False
010_vietnamese_mixed.jpg,quantity,False,False
010_vietnamese_mixed.jpg,unit,False,False
010_vietnamese_mixed.jpg,serial,False,False
010_vietnamese_mixed.jpg,po_number,False,False
010_vietnamese_mixed.jpg,barcode,False,False
011_rotated.jpg,sku,False,False
011_rotated.jpg,lot,False,False
011_rotated.jpg,quantity,False,False
011_rotated.jpg,unit,False,False
011_rotated.jpg,serial,False,False
011_rotated.jpg,po_number,False,False
011_rotated.jpg,barcode,False,False
012_rotated.jpg,sku,False,False
012_rotated.jpg,lot,False,False
012_rotated.jpg,quantity,False,False
012_rotated.jpg,unit,False,False
012_rotated.jpg,serial,False,False
012_rotated.jpg,po_number,False,False
012_rotated.jpg,barcode,False,False
013_small_text.jpg,sku,False,False
013_small_text.jpg,lot,False,False
013_small_text.jpg,quantity,False,False
013_small_text.jpg,unit,False,False
013_small_text.jpg,serial,False,False
013_small_text.jpg,po_number,False,False
013_small_text.jpg,barcode,False,False
014_damaged.jpg,sku,False,False
014_damaged.jpg,lot,False,False
014_damaged.jpg,quantity,False,False
014_damaged.jpg,unit,False,False
014_damaged.jpg,serial,False,False
014_damaged.jpg,po_number,False,False
014_damaged.jpg,barcode,False,False
015_small_text.jpg,sku,False,False
015_small_text.jpg,lot,False,False
015_small_text.jpg,quantity,False,False
015_small_text.jpg,unit,False,False
015_small_text.jpg,serial,False,False
015_small_text.jpg,po_number,False,False
015_small_text.jpg,barcode,False,False
016_small_text.jpg,sku,False,False
016_small_text.jpg,lot,False,False
016_small_text.jpg,quantity,False,False
016_small_text.jpg,unit,False,False
016_small_text.jpg,serial,False,False
016_small_text.jpg,po_number,False,False
016_small_text.jpg,barcode,False,False
017_clear.jpg,sku,False,False
017_clear.jpg,lot,False,False
017_clear.jpg,quantity,False,False
017_clear.jpg,unit,False,False
017_clear.jpg,serial,False,False
017_clear.jpg,po_number,False,False
017_clear.jpg,barcode,False,False
018_dark.jpg,sku,False,False
018_dark.jpg,lot,False,False
018_dark.jpg,quantity,False,False
018_dark.jpg,unit,False,False
018_dark.jpg,serial,False,False
018_dark.jpg,po_number,False,False
018_dark.jpg,barcode,False,False
019_dark.jpg,sku,False,False
019_dark.jpg,lot,False,False
019_dark.jpg,quantity,False,False
019_dark.jpg,unit,False,False
019_dark.jpg,serial,False,False
019_dark.jpg,po_number,False,False
019_dark.jpg,barcode,False,False
020_vietnamese_mixed.jpg,sku,False,False
020_vietnamese_mixed.jpg,lot,False,False
020_vietnamese_mixed.jpg,quantity,False,False
020_vietnamese_mixed.jpg,unit,False,False
020_vietnamese_mixed.jpg,serial,False,False
020_vietnamese_mixed.jpg,po_number,False,False
020_vietnamese_mixed.jpg,barcode,False,False
021_clear.jpg,sku,False,False
021_clear.jpg,lot,False,False
021_clear.jpg,quantity,False,False
021_clear.jpg,unit,False,False
021_clear.jpg,serial,False,False
021_clear.jpg,po_number,False,False
021_clear.jpg,barcode,False,False
022_clear.jpg,sku,False,False
022_clear.jpg,lot,False,False
022_clear.jpg,quantity,False,False
022_clear.jpg,unit,False,False
022_clear.jpg,serial,False,False
022_clear.jpg,po_number,False,False
022_clear.jpg,barcode,False,False
023_dark.jpg,sku,False,False
023_dark.jpg,lot,False,False
023_dark.jpg,quantity,False,False
023_dark.jpg,unit,False,False
023_dark.jpg,serial,False,False
023_dark.jpg,po_number,False,False
023_dark.jpg,barcode,False,False
024_clear.jpg,sku,False,False
024_clear.jpg,lot,False,False
024_clear.jpg,quantity,False,False
024_clear.jpg,unit,False,False
024_clear.jpg,serial,False,False
024_clear.jpg,po_number,False,False
024_clear.jpg,barcode,False,False
025_blur.jpg,sku,False,False
025_blur.jpg,lot,False,False
025_blur.jpg,quantity,False,False
025_blur.jpg,unit,False,False
025_blur.jpg,serial,False,False
025_blur.jpg,po_number,False,False
025_blur.jpg,barcode,False,False
026_damaged.jpg,sku,False,False
026_damaged.jpg,lot,False,False
026_damaged.jpg,quantity,False,False
