image,status,field_exact_match_accuracy,critical_field_exact_match_accuracy,full_label_exact_match,cer,wer
001_blur.jpg,SUCCESS,0.0,0.0,False,239.0,23.0
002_blur.jpg,SUCCESS,1.0,1.0,True,151.0,19.0
003_damaged.jpg,SUCCESS,1.0,1.0,True,135.0,17.0
004_reflection.jpg,SUCCESS,0.0,0.0,False,181.0,17.0
005_blur.jpg,SUCCESS,0.0,0.0,False,192.0,21.0
006_rotated.jpg,SUCCESS,0.0,0.0,False,172.0,19.0
007_vietnamese_mixed.jpg,SUCCESS,0.0,0.0,False,262.0,30.0
008_reflection.jpg,SUCCESS,1.0,1.0,True,163.0,21.0
009_vietnamese_mixed.jpg,SUCCESS,0.0,0.0,False,284.0,33.0
010_vietnamese_mixed.jpg,SUCCESS,0.0,0.0,False,259.0,31.0
011_rotated.jpg,SUCCESS,0.0,0.0,False,188.0,20.0
012_rotated.jpg,SUCCESS,0.0,0.0,False,217.0,23.0
013_small_text.jpg,SUCCESS,1.0,1.0,True,133.0,17.0
014_damaged.jpg,SUCCESS,0.0,0.0,False,164.0,16.0
015_small_text.jpg,SUCCESS,1.0,1.0,True,132.0,17.0
016_small_text.jpg,SUCCESS,0.8571428571428571,0.75,False,153.0,19.0
017_clear.jpg,SUCCESS,0.0,0.0,False,191.0,20.0
018_dark.jpg,SUCCESS,0.0,0.0,False,193.0,21.0
019_dark.jpg,SUCCESS,0.0,0.0,False,197.0,21.0
020_vietnamese_mixed.jpg,SUCCESS,0.0,0.0,False,217.0,20.0
021_clear.jpg,SUCCESS,0.0,0.0,False,192.0,21.0
022_clear.jpg,SUCCESS,0.0,0.0,False,192.0,21.0
023_dark.jpg,SUCCESS,1.0,1.0,True,148.0,19.0
024_clear.jpg,SUCCESS,0.0,0.0,False,213.0,23.0
025_blur.jpg,SUCCESS,0.0,0.0,False,193.0,20.0
026_damaged.jpg,SUCCESS,0.0,0.0,False,236.0,23.0
027_damaged.jpg,SUCCESS,0.0,0.0,False,164.0,16.0
028_rotated.jpg,SUCCESS,0.0,0.0,False,214.0,23.0
029_rotated.jpg,SUCCESS,0.0,0.0,False,196.0,21.0
030_rotated.jpg,SUCCESS,0.0,0.0,False,196.0,21.0
031_damaged.jpg,SUCCESS,0.0,0.0,False,193.0,20.0
032_small_text.jpg,SUCCESS,1.0,1.0,True,148.0,19.0
033_dark.jpg,SUCCESS,0.0,0.0,False,163.0,16.0
034_blur.jpg,SUCCESS,0.0,0.0,False,192.0,21.0
035_dark.jpg,SUCCESS,0.0,0.0,False,164.0,16.0
036_small_text.jpg,SUCCESS,1.0,1.0,True,154.0,19.0
037_small_text.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
038_clear.jpg,SUCCESS,0.0,0.0,False,166.0,16.0
039_vietnamese_mixed.jpg,SUCCESS,0.0,0.0,False,220.0,28.0
040_small_text.jpg,SUCCESS,1.0,1.0,True,147.0,19.0
041_small_text.jpg,SUCCESS,1.0,1.0,True,139.0,17.0
042_small_text.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
043_vietnamese_mixed.jpg,SUCCESS,0.0,0.0,False,198.0,19.0
044_clear.jpg,SUCCESS,0.0,0.0,False,212.0,22.0
045_clear.jpg,SUCCESS,0.0,0.0,False,154.0,15.0
046_dark.jpg,SUCCESS,0.0,0.0,False,195.0,21.0
047_clear.jpg,SUCCESS,0.0,0.0,False,201.0,21.0
048_rotated.jpg,SUCCESS,0.0,0.0,False,213.0,23.0
049_rotated.jpg,SUCCESS,0.0,0.0,False,199.0,21.0
050_damaged.jpg,SUCCESS,0.0,0.0,False,194.0,21.0
051_blur.jpg,SUCCESS,0.0,0.0,False,195.0,21.0
052_clear.jpg,SUCCESS,0.0,0.0,False,213.0,22.0
053_blur.jpg,SUCCESS,1.0,1.0,True,150.0,19.0
054_reflection.jpg,SUCCESS,0.0,0.0,False,200.0,21.0
055_small_text.jpg,SUCCESS,1.0,1.0,True,137.0,17.0
056_blur.jpg,SUCCESS,0.0,0.0,False,218.0,23.0
057_damaged.jpg,SUCCESS,0.0,0.0,False,163.0,16.0
058_reflection.jpg,SUCCESS,0.0,0.0,False,166.0,16.0
059_clear.jpg,SUCCESS,0.0,0.0,False,196.0,21.0
060_rotated.jpg,SUCCESS,0.0,0.0,False,211.0,22.0
061_damaged.jpg,SUCCESS,0.0,0.0,False,199.0,21.0
062_dark.jpg,SUCCESS,0.0,0.0,False,166.0,16.0
063_reflection.jpg,SUCCESS,0.0,0.0,False,202.0,21.0
064_damaged.jpg,SUCCESS,0.0,0.0,False,217.0,23.0
065_small_text.jpg,SUCCESS,1.0,1.0,True,137.0,17.0
066_clear.jpg,SUCCESS,0.0,0.0,False,162.0,16.0
067_reflection.jpg,SUCCESS,0.0,0.0,False,201.0,21.0
068_rotated.jpg,SUCCESS,0.0,0.0,False,217.0,23.0
069_small_text.jpg,SUCCESS,1.0,1.0,True,136.0,17.0
070_reflection.jpg,SUCCESS,0.0,0.0,False,199.0,21.0
071_clear.jpg,SUCCESS,0.0,0.0,False,194.0,21.0
072_dark.jpg,SUCCESS,0.0,0.0,False,214.0,23.0
073_small_text.jpg,SUCCESS,0.8571428571428571,0.75,False,137.0,17.0
074_blur.jpg,SUCCESS,0.0,0.0,False,192.0,20.0
075_rotated.jpg,SUCCESS,0.0,0.0,False,192.0,21.0
076_vietnamese_mixed.jpg,SUCCESS,0.0,0.0,False,326.0,35.0
077_rotated.jpg,SUCCESS,0.0,0.0,False,196.0,21.0
078_rotated.jpg,SUCCESS,0.0,0.0,False,165.0,18.0
079_clear.jpg,SUCCESS,1.0,1.0,True,146.0,19.0
080_clear.jpg,SUCCESS,0.0,0.0,False,213.0,23.0
081_rotated.jpg,SUCCESS,0.0,0.0,False,172.0,19.0
082_clear.jpg,SUCCESS,1.0,1.0,True,151.0,19.0
083_rotated.jpg,SUCCESS,0.0,0.0,False,187.0,20.0
084_clear.jpg,SUCCESS,0.0,0.0,False,218.0,23.0
085_clear.jpg,SUCCESS,0.0,0.0,False,162.0,16.0
086_clear.jpg,SUCCESS,0.0,0.0,False,164.0,16.0
087_vietnamese_mixed.jpg,SUCCESS,0.0,0.0,False,279.0,32.0
088_blur.jpg,SUCCESS,0.0,0.0,False,182.0,17.0
089_reflection.jpg,SUCCESS,0.0,0.0,False,192.0,20.0
090_clear.jpg,SUCCESS,0.0,0.0,False,162.0,16.0
091_reflection.jpg,SUCCESS,0.0,0.0,False,196.0,21.0
092_damaged.jpg,SUCCESS,0.0,0.0,False,215.0,23.0
093_dark.jpg,SUCCESS,0.0,0.0,False,163.0,16.0
094_small_text.jpg,SUCCESS,1.0,1.0,True,134.0,17.0
095_clear.jpg,SUCCESS,0.0,0.0,False,191.0,20.0
096_vietnamese_mixed.jpg,SUCCESS,1.0,1.0,True,200.0,29.0
097_dark.jpg,SUCCESS,0.0,0.0,False,200.0,21.0
098_reflection.jpg,SUCCESS,0.0,0.0,False,232.0,22.0
099_small_text.jpg,SUCCESS,0.8571428571428571,0.75,False,139.0,17.0
100_vietnamese_mixed.jpg,SUCCESS,0.0,0.0,False,345.0,37.0
