image,field,correct,critical
001_blur.jpg,sku,False,True
001_blur.jpg,lot,False,True
001_blur.jpg,quantity,False,False
001_blur.jpg,unit,False,False
001_blur.jpg,serial,False,True
001_blur.jpg,po_number,False,False
001_blur.jpg,barcode,False,True
002_blur.jpg,sku,True,True
002_blur.jpg,lot,True,True
002_blur.jpg,quantity,True,False
002_blur.jpg,unit,True,False
002_blur.jpg,serial,True,True
002_blur.jpg,po_number,True,False
002_blur.jpg,barcode,True,True
003_damaged.jpg,sku,True,True
003_damaged.jpg,lot,True,True
003_damaged.jpg,quantity,True,False
003_damaged.jpg,unit,True,False
003_damaged.jpg,serial,True,True
003_damaged.jpg,po_number,True,False
003_damaged.jpg,barcode,True,True
004_reflection.jpg,sku,False,True
004_reflection.jpg,lot,False,True
004_reflection.jpg,quantity,False,False
004_reflection.jpg,unit,False,False
004_reflection.jpg,serial,False,True
004_reflection.jpg,po_number,False,False
004_reflection.jpg,barcode,False,True
005_blur.jpg,sku,False,True
005_blur.jpg,lot,False,True
005_blur.jpg,quantity,False,False
005_blur.jpg,unit,False,False
005_blur.jpg,serial,False,True
005_blur.jpg,po_number,False,False
005_blur.jpg,barcode,False,True
006_rotated.jpg,sku,False,True
006_rotated.jpg,lot,False,True
006_rotated.jpg,quantity,False,False
006_rotated.jpg,unit,False,False
006_rotated.jpg,serial,False,True
006_rotated.jpg,po_number,False,False
006_rotated.jpg,barcode,False,True
007_vietnamese_mixed.jpg,sku,False,True
007_vietnamese_mixed.jpg,lot,False,True
007_vietnamese_mixed.jpg,quantity,False,False
007_vietnamese_mixed.jpg,unit,False,False
007_vietnamese_mixed.jpg,serial,False,True
007_vietnamese_mixed.jpg,po_number,False,False
007_vietnamese_mixed.jpg,barcode,False,True
008_reflection.jpg,sku,True,True
008_reflection.jpg,lot,True,True
008_reflection.jpg,quantity,True,False
008_reflection.jpg,unit,True,False
008_reflection.jpg,serial,True,True
008_reflection.jpg,po_number,True,False
008_reflection.jpg,barcode,True,True
009_vietnamese_mixed.jpg,sku,False,True
009_vietnamese_mixed.jpg,lot,False,True
009_vietnamese_mixed.jpg,quantity,False,False
009_vietnamese_mixed.jpg,unit,False,False
009_vietnamese_mixed.jpg,serial,False,True
009_vietnamese_mixed.jpg,po_number,False,False
009_vietnamese_mixed.jpg,barcode,False,True
010_vietnamese_mixed.jpg,sku,False,True
010_vietnamese_mixed.jpg,lot,False,True
010_vietnamese_mixed.jpg,quantity,False,False
010_vietnamese_mixed.jpg,unit,False,False
010_vietnamese_mixed.jpg,serial,False,True
010_vietnamese_mixed.jpg,po_number,False,False
010_vietnamese_mixed.jpg,barcode,False,True
011_rotated.jpg,sku,False,True
011_rotated.jpg,lot,False,True
011_rotated.jpg,quantity,False,False
011_rotated.jpg,unit,False,False
011_rotated.jpg,serial,False,True
011_rotated.jpg,po_number,False,False
011_rotated.jpg,barcode,False,True
012_rotated.jpg,sku,False,True
012_rotated.jpg,lot,False,True
012_rotated.jpg,quantity,False,False
012_rotated.jpg,unit,False,False
012_rotated.jpg,serial,False,True
012_rotated.jpg,po_number,False,False
012_rotated.jpg,barcode,False,True
013_small_text.jpg,sku,True,True
013_small_text.jpg,lot,True,True
013_small_text.jpg,quantity,True,False
013_small_text.jpg,unit,True,False
013_small_text.jpg,serial,True,True
013_small_text.jpg,po_number,True,False
013_small_text.jpg,barcode,True,True
014_damaged.jpg,sku,False,True
014_damaged.jpg,lot,False,True
014_damaged.jpg,quantity,False,False
014_damaged.jpg,unit,False,False
014_damaged.jpg,serial,False,True
014_damaged.jpg,po_number,False,False
014_damaged.jpg,barcode,False,True
015_small_text.jpg,sku,True,True
015_small_text.jpg,lot,True,True
015_small_text.jpg,quantity,True,False
015_small_text.jpg,unit,True,False
015_small_text.jpg,serial,True,True
