image,field,correct,critical
001_blur.jpg,sku,False,True
001_blur.jpg,lot,False,True
001_blur.jpg,quantity,False,False
001_blur.jpg,unit,False,False
001_blur.jpg,serial,False,True
001_blur.jpg,po_number,False,False
001_blur.jpg,barcode,False,True
002_blur.jpg,sku,False,True
002_blur.jpg,lot,False,True
002_blur.jpg,quantity,False,False
002_blur.jpg,unit,False,False
002_blur.jpg,serial,False,True
002_blur.jpg,po_number,False,False
002_blur.jpg,barcode,False,True
003_damaged.jpg,sku,False,True
003_damaged.jpg,lot,False,True
003_damaged.jpg,quantity,False,False
003_damaged.jpg,unit,False,False
003_damaged.jpg,serial,False,True
003_damaged.jpg,po_number,False,False
003_damaged.jpg,barcode,False,True
