image,field,correct,critical
001_blur.jpg,sku,True,True
001_blur.jpg,lot,True,True
001_blur.jpg,quantity,True,False
001_blur.jpg,unit,True,False
001_blur.jpg,serial,True,True
001_blur.jpg,po_number,True,False
001_blur.jpg,barcode,True,True
002_blur.jpg,sku,True,True
002_blur.jpg,lot,True,True
002_blur.jpg,quantity,True,False
002_blur.jpg,unit,True,False
002_blur.jpg,serial,True,True
002_blur.jpg,po_number,True,False
002_blur.jpg,barcode,True,True
003_damaged.jpg,sku,True,True
003_damaged.jpg,lot,True,True
003_damaged.jpg,quantity,True,False
003_damaged.jpg,unit,True,False
003_damaged.jpg,serial,True,True
003_damaged.jpg,po_number,True,False
003_damaged.jpg,barcode,True,True
