image,field,correct,critical
001_blur.jpg,sku,True,True
001_blur.jpg,lot,True,True
001_blur.jpg,quantity,True,False
001_blur.jpg,unit,True,False
001_blur.jpg,serial,True,True
001_blur.jpg,po_number,True,False
001_blur.jpg,barcode,True,True
002_blur.jpg,sku,True,True
002_blur.jpg,lot,True,True
002_blur.jpg,quantity,True,False
002_blur.jpg,unit,True,False
002_blur.jpg,serial,True,True
002_blur.jpg,po_number,True,False
002_blur.jpg,barcode,True,True
003_damaged.jpg,sku,True,True
003_damaged.jpg,lot,True,True
003_damaged.jpg,quantity,True,False
003_damaged.jpg,unit,True,False
003_damaged.jpg,serial,True,True
003_damaged.jpg,po_number,True,False
003_damaged.jpg,barcode,True,True
004_reflection.jpg,sku,True,True
004_reflection.jpg,lot,True,True
004_reflection.jpg,quantity,True,False
004_reflection.jpg,unit,True,False
004_reflection.jpg,serial,True,True
004_reflection.jpg,po_number,True,False
004_reflection.jpg,barcode,True,True
005_blur.jpg,sku,True,True
005_blur.jpg,lot,True,True
005_blur.jpg,quantity,True,False
005_blur.jpg,unit,True,False
005_blur.jpg,serial,True,True
005_blur.jpg,po_number,True,False
005_blur.jpg,barcode,True,True
006_rotated.jpg,sku,True,True
006_rotated.jpg,lot,True,True
006_rotated.jpg,quantity,True,False
006_rotated.jpg,unit,True,False
006_rotated.jpg,serial,True,True
006_rotated.jpg,po_number,True,False
006_rotated.jpg,barcode,True,True
007_vietnamese_mixed.jpg,sku,True,True
007_vietnamese_mixed.jpg,lot,True,True
007_vietnamese_mixed.jpg,quantity,True,False
007_vietnamese_mixed.jpg,unit,True,False
007_vietnamese_mixed.jpg,serial,True,True
007_vietnamese_mixed.jpg,po_number,True,False
007_vietnamese_mixed.jpg,barcode,True,True
008_reflection.jpg,sku,True,True
008_reflection.jpg,lot,True,True
008_reflection.jpg,quantity,True,False
008_reflection.jpg,unit,True,False
008_reflection.jpg,serial,True,True
008_reflection.jpg,po_number,True,False
008_reflection.jpg,barcode,True,True
009_vietnamese_mixed.jpg,sku,True,True
009_vietnamese_mixed.jpg,lot,True,True
009_vietnamese_mixed.jpg,quantity,True,False
009_vietnamese_mixed.jpg,unit,True,False
009_vietnamese_mixed.jpg,serial,True,True
009_vietnamese_mixed.jpg,po_number,True,False
009_vietnamese_mixed.jpg,barcode,True,True
010_vietnamese_mixed.jpg,sku,True,True
010_vietnamese_mixed.jpg,lot,True,True
010_vietnamese_mixed.jpg,quantity,True,False
010_vietnamese_mixed.jpg,unit,True,False
010_vietnamese_mixed.jpg,serial,True,True
010_vietnamese_mixed.jpg,po_number,True,False
010_vietnamese_mixed.jpg,barcode,True,True
011_rotated.jpg,sku,True,True
011_rotated.jpg,lot,True,True
011_rotated.jpg,quantity,True,False
011_rotated.jpg,unit,True,False
011_rotated.jpg,serial,True,True
011_rotated.jpg,po_number,True,False
011_rotated.jpg,barcode,True,True
012_rotated.jpg,sku,True,True
012_rotated.jpg,lot,True,True
012_rotated.jpg,quantity,True,False
012_rotated.jpg,unit,True,False
012_rotated.jpg,serial,True,True
012_rotated.jpg,po_number,True,False
012_rotated.jpg,barcode,True,True
013_small_text.jpg,sku,True,True
013_small_text.jpg,lot,True,True
013_small_text.jpg,quantity,True,False
013_small_text.jpg,unit,True,False
013_small_text.jpg,serial,True,True
013_small_text.jpg,po_number,True,False
013_small_text.jpg,barcode,True,True
014_damaged.jpg,sku,True,True
014_damaged.jpg,lot,True,True
014_damaged.jpg,quantity,True,False
014_damaged.jpg,unit,True,False
014_damaged.jpg,serial,True,True
014_damaged.jpg,po_number,True,False
014_damaged.jpg,barcode,True,True
015_small_text.jpg,sku,True,True
015_small_text.jpg,lot,True,True
015_small_text.jpg,quantity,True,False
015_small_text.jpg,unit,True,False
015_small_text.jpg,serial,True,True
015_small_text.jpg,po_number,True,False
015_small_text.jpg,barcode,True,True
016_small_text.jpg,sku,True,True
016_small_text.jpg,lot,True,True
016_small_text.jpg,quantity,True,False
016_small_text.jpg,unit,True,False
016_small_text.jpg,serial,True,True
016_small_text.jpg,po_number,True,False
016_small_text.jpg,barcode,True,True
017_clear.jpg,sku,True,True
017_clear.jpg,lot,True,True
017_clear.jpg,quantity,True,False
017_clear.jpg,unit,True,False
017_clear.jpg,serial,True,True
017_clear.jpg,po_number,True,False
017_clear.jpg,barcode,True,True
018_dark.jpg,sku,True,True
018_dark.jpg,lot,True,True
018_dark.jpg,quantity,True,False
018_dark.jpg,unit,True,False
018_dark.jpg,serial,True,True
018_dark.jpg,po_number,True,False
018_dark.jpg,barcode,True,True
019_dark.jpg,sku,False,True
019_dark.jpg,lot,True,True
019_dark.jpg,quantity,True,False
019_dark.jpg,unit,True,False
019_dark.jpg,serial,True,True
019_dark.jpg,po_number,True,False
019_dark.jpg,barcode,True,True
020_vietnamese_mixed.jpg,sku,True,True
020_vietnamese_mixed.jpg,lot,True,True
020_vietnamese_mixed.jpg,quantity,True,False
020_vietnamese_mixed.jpg,unit,True,False
020_vietnamese_mixed.jpg,serial,True,True
020_vietnamese_mixed.jpg,po_number,True,False
020_vietnamese_mixed.jpg,barcode,True,True
021_clear.jpg,sku,True,True
021_clear.jpg,lot,True,True
021_clear.jpg,quantity,True,False
021_clear.jpg,unit,True,False
021_clear.jpg,serial,True,True
021_clear.jpg,po_number,True,False
021_clear.jpg,barcode,True,True
022_clear.jpg,sku,True,True
022_clear.jpg,lot,True,True
022_clear.jpg,quantity,True,False
022_clear.jpg,unit,True,False
022_clear.jpg,serial,False,True
022_clear.jpg,po_number,True,False
022_clear.jpg,barcode,True,True
023_dark.jpg,sku,True,True
023_dark.jpg,lot,True,True
023_dark.jpg,quantity,True,False
023_dark.jpg,unit,True,False
023_dark.jpg,serial,True,True
023_dark.jpg,po_number,True,False
023_dark.jpg,barcode,True,True
024_clear.jpg,sku,True,True
024_clear.jpg,lot,True,True
024_clear.jpg,quantity,True,False
024_clear.jpg,unit,True,False
024_clear.jpg,serial,True,True
024_clear.jpg,po_number,True,False
024_clear.jpg,barcode,True,True
025_blur.jpg,sku,True,True
025_blur.jpg,lot,True,True
025_blur.jpg,quantity,True,False
025_blur.jpg,unit,True,False
025_blur.jpg,serial,True,True
025_blur.jpg,po_number,True,False
025_blur.jpg,barcode,True,True
026_damaged.jpg,sku,True,True
026_damaged.jpg,lot,True,True
026_damaged.jpg,quantity,True,False
026_damaged.jpg,unit,True,False
026_damaged.jpg,serial,True,True
026_damaged.jpg,po_number,True,False
026_damaged.jpg,barcode,True,True
027_damaged.jpg,sku,True,True
027_damaged.jpg,lot,True,True
027_damaged.jpg,quantity,True,False
027_damaged.jpg,unit,True,False
027_damaged.jpg,serial,True,True
027_damaged.jpg,po_number,True,False
027_damaged.jpg,barcode,True,True
028_rotated.jpg,sku,True,True
028_rotated.jpg,lot,True,True
028_rotated.jpg,quantity,True,False
028_rotated.jpg,unit,True,False
028_rotated.jpg,serial,True,True
028_rotated.jpg,po_number,True,False
028_rotated.jpg,barcode,True,True
029_rotated.jpg,sku,True,True
029_rotated.jpg,lot,True,True
029_rotated.jpg,quantity,True,False
029_rotated.jpg,unit,True,False
029_rotated.jpg,serial,True,True
029_rotated.jpg,po_number,True,False
029_rotated.jpg,barcode,True,True
030_rotated.jpg,sku,True,True
030_rotated.jpg,lot,True,True
030_rotated.jpg,quantity,True,False
030_rotated.jpg,unit,True,False
030_rotated.jpg,serial,True,True
030_rotated.jpg,po_number,True,False
030_rotated.jpg,barcode,True,True
031_damaged.jpg,sku,True,True
031_damaged.jpg,lot,True,True
031_damaged.jpg,quantity,True,False
031_damaged.jpg,unit,True,False
031_damaged.jpg,serial,True,True
031_damaged.jpg,po_number,True,False
031_damaged.jpg,barcode,True,True
032_small_text.jpg,sku,False,True
032_small_text.jpg,lot,True,True
032_small_text.jpg,quantity,True,False
032_small_text.jpg,unit,True,False
